precision,recall,mcc,rank,weight,floor
100.0,5.263157894736842,22.518867455552247,is_0,1,2.1
100.0,10.526315789473683,31.878835653166917,is_0,1,2.1
100.0,15.789473684210526,39.083179353147635,is_0,1,2.1
100.0,21.052631578947366,45.17539514526256,is_0,1,2.1
100.0,26.31578947368421,50.559244642438095,is_0,1,2.1
100.0,31.57894736842105,55.44159532159296,is_0,1,2.1
85.71428571428571,31.57894736842105,51.03907130471704,is_0,1,2.1
87.5,36.84210526315789,55.81052602166383,is_0,1,2.1
88.88888888888889,42.10526315789473,60.240830152075645,is_0,1,2.1
90.0,47.368421052631575,64.39547235251972,is_0,1,2.1
90.9090909090909,52.63157894736842,68.32182125189291,is_0,1,2.1
91.66666666666666,57.89473684210527,72.05538057623573,is_0,1,2.1
84.61538461538461,57.89473684210527,69.04757466825006,is_0,1,2.1
78.57142857142857,57.89473684210527,66.36120496050026,is_0,1,2.1
73.33333333333333,57.89473684210527,63.941953495656044,is_0,1,2.1
68.75,57.89473684210527,61.747562755757016,is_0,1,2.1
64.70588235294117,57.89473684210527,59.74459555053166,is_0,1,2.1
66.66666666666666,63.1578947368421,63.523964908112106,is_0,1,2.1
68.42105263157895,68.42105263157895,67.15789473684211,is_0,1,2.1
70.0,73.68421052631578,70.66173058152745,is_0,1,2.1
71.42857142857143,78.94736842105263,74.04847930800774,is_0,1,2.1
68.18181818181817,78.94736842105263,72.22631782205508,is_0,1,2.1
69.56521739130434,84.21052631578947,75.51759915263396,is_0,1,2.1
66.66666666666666,84.21052631578947,73.81787056116153,is_0,1,2.1
68.0,89.47368421052632,77.02108370280698,is_0,1,2.1
65.38461538461539,89.47368421052632,75.42472332656507,is_0,1,2.1
62.96296296296296,89.47368421052632,73.91588311176164,is_0,1,2.1
64.28571428571429,94.73684210526315,77.03901087638503,is_0,1,2.1
62.06896551724138,94.73684210526315,75.60822464300453,is_0,1,2.1
60.0,94.73684210526315,74.24795364647873,is_0,1,2.1
58.06451612903226,94.73684210526315,72.95248503994773,is_0,1,2.1
56.25,94.73684210526315,71.71673475061482,is_0,1,2.1
54.54545454545454,94.73684210526315,70.53616114859076,is_0,1,2.1
52.94117647058824,94.73684210526315,69.40669277928134,is_0,1,2.1
54.285714285714285,100.0,72.42730345466609,is_0,1,2.1
52.77777777777778,100.0,71.33644853010898,is_0,1,2.1
51.35135135135135,100.0,70.28897879853243,is_0,1,2.1
50.0,100.0,69.2820323027551,is_0,1,2.1
48.717948717948715,100.0,68.31300510639733,is_0,1,2.1
47.5,100.0,67.37952211169207,is_0,1,2.1
46.34146341463415,100.0,66.47941181389882,is_0,1,2.1
45.23809523809524,100.0,65.61068437961842,is_0,1,2.1
44.18604651162791,100.0,64.77151254378195,is_0,1,2.1
43.18181818181818,100.0,63.96021490668312,is_0,1,2.1
42.22222222222222,100.0,63.175241282571385,is_0,1,2.1
41.30434782608695,100.0,62.41515980843951,is_0,1,2.1
40.42553191489361,100.0,61.67864556837266,is_0,1,2.1
